"sampno","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","R0","infectious","incubation","t0","I0","prob","lnlike"
1,0,5,19.73598747,5,0.788828786,14,40,40,3,5,11.9,38,1000,0.103299323,1,3.2,4,4,15,1e-05,-7,-364663.869289623
51,0,5,20.1320270047068,5.51367786036273,0.788828786,14,40,40,3,5,11.7936564653316,38.0572163558804,1000,0.188365593244416,1,3.01933396841937,4.04149606423505,4.2366028898122,14.9280524840578,1e-05,-7.31288415824054,-344667.200229762
101,0,5,19.9859937470971,5.84049184716122,0.788828786,14,40,40,3,5,11.7936564653316,38.1741692236278,1000,0.371065503732972,1,2.7230366585463,4.26248068901302,4.47085487445945,14.8969448194047,1e-05,-7.34121254172552,-317271.433527008
151,0,5,19.7191653989535,5.63232309184626,0.788828786,14,40,40,3,5,11.9679755940929,37.9251850567802,1000,0.438842134961169,1,2.70997937837082,4.4694538776728,4.67544844889274,14.9244347643442,1e-05,-6.92573968749698,-315866.330856304
201,0,5,19.679653418469,5.38934412177391,0.788828786,14,40,40,3,5,12.5163353052985,37.782834186934,1000,0.406507958924225,1,2.70118316908947,4.23585901969212,4.85507220234366,14.8819150659517,1e-05,-7.11161035099064,-315081.03586062
251,0,5,19.4738833440692,5.35776030217831,0.788828786,14,40,40,3,5,12.6069621666185,37.4174240306351,1000,0.189533446216528,1,2.68271637934218,4.23585901969212,4.98803369219318,14.7327992651937,1e-05,-7.5751084311705,-314700.10717395
301,0,5,19.148273458088,5.26668284848956,0.788828786,14,40,40,3,5,12.9413710071267,37.363289317598,1000,0.189533446216528,1,2.68271637934218,4.13437811742001,5.09903558843281,14.5820923948287,1e-05,-7.6845899661981,-314233.975386021
351,0,5,18.8641236440782,4.96418787535306,0.788828786,14,40,40,3,5,13.3928727062027,37.1282850682405,1000,0.0863148233109317,1,2.68271637934218,4.07440747280296,5.21097562032116,14.5076680960478,1e-05,-7.49907118060008,-313543.285699636
401,0,5,18.6696831899699,4.88762952441871,0.788828786,14,40,40,3,5,13.5600663937653,36.927260586642,1000,0.105454221400215,1,2.68271637934218,4.0451802945082,5.277503022413,14.5551034811251,1e-05,-7.48325798382569,-313287.748279497
451,0,5,18.6083089839796,4.64868676225647,0.788828786,14,40,40,3,5,13.6793852642522,36.7285786383387,1000,0.191070248411474,1,2.68271637934218,3.87772284606709,5.38394293234274,14.4403727647037,1e-05,-7.57274045684659,-312684.106661073
501,0,5,18.3649238091525,4.55001086128912,0.788828786,14,40,40,3,5,13.8017825279209,36.692466323907,1000,0.185704180491326,1,2.66613360301659,3.66331002913497,5.56813101141402,14.4031684520193,1e-05,-7.28025423700373,-312160.162585605
551,0,5,18.4849561152603,4.3153904237257,0.788828786,14,40,40,3,5,13.8830269670264,36.5580481893453,1000,0.117534374393642,1,2.66613360301659,3.46573342434588,5.88603179360933,14.5620196004458,1e-05,-7.38772677381567,-311394.442762254
601,0,5,18.490240265829,4.3153904237257,0.788828786,14,40,40,3,5,13.8591557460312,36.325833489641,1000,0.104321700672692,1,2.6078977748253,3.37037226770798,5.80137085086304,14.6286751304826,1e-05,-7.2769999268713,-311229.012672626
651,0,5,18.5236767009338,4.1643790279493,0.788828786,14,40,40,3,5,14.0368751672265,36.1591394993436,1000,0.137667758228882,1,2.6078977748253,3.35353140214101,5.80137085086304,14.792572760822,1e-05,-7.01891018808627,-310946.859558808
