"sampno","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","R0","infectious","incubation","t0","I0","prob","lnlike"
1,0,5,19.73598747,5,0.788828786,14,40,40,3,5,11.9,38,1000,0.103299323,1,1.2,4,4,15,1e-05,-7,-81852.2347037471
51,0,5,19.6351431983507,5.08649137154175,0.788828786,14,40,40,3,5,11.8918037725485,38.1948682985082,1000,0.507003806553739,1,1.35162005688596,3.5863796803498,3.70196187915246,14.9704376699192,1e-05,-7.15654326444323,-64728.0990145446
101,0,5,19.5243068513823,5.2844977701719,0.788828786,14,40,40,3,5,11.8302842322667,38.4135389938972,1000,0.667041072162716,1,1.35162005688596,3.36186905071206,3.60144251230857,14.8646128336598,1e-05,-7.50190427586094,-64153.3511350584
151,0,5,19.5093681312398,5.63782225587094,0.788828786,14,40,40,3,5,11.7440763865531,38.5415050987822,1000,0.848471228743809,1,1.34946857493933,3.28065537896835,3.61882907341262,14.8672911200467,1e-05,-7.62212789425819,-63959.0419952116
201,0,5,19.2256818961651,5.97199918003486,0.788828786,14,40,40,3,5,11.3498044546209,39.42792671666,1000,0.871384467164706,1,1.34946857493933,3.28065537896835,3.64150396780926,14.7879103047478,1e-05,-7.61904296068511,-63768.8590880129
251,0,5,19.0367341591707,6.2736322130747,0.788828786,14,40,40,3,5,11.2571146528955,39.3796297520598,1000,0.79072343165889,1,1.34946857493933,3.28065537896835,3.63971870306548,14.6565076837641,1e-05,-7.57126454519174,-63700.0776421563
301,0,5,18.9344013189092,6.28097711017688,0.788828786,14,40,40,3,5,11.0412145098594,39.5339190789127,1000,0.79072343165889,1,1.34946857493933,3.26794542847673,3.63918565681255,14.510728975474,1e-05,-7.64828453098157,-63661.4376249264
351,0,5,18.7782097923398,6.74800412335094,0.788828786,14,40,40,3,5,11.0412145098594,39.7455497920681,1000,0.79072343165889,1,1.34946857493933,3.26867740127375,3.63918565681255,14.4879586859425,1e-05,-7.94155437235597,-63610.6177654028
401,0,5,18.6228534529633,7.18542338257634,0.788828786,14,40,40,3,5,10.6892319924246,39.7001679504877,1000,0.828966424488356,1,1.34946857493933,3.27847898849268,3.64315572839976,14.4369114172881,1e-05,-7.91256595071707,-63472.6395419745
451,0,5,18.4906914856752,7.46978935027664,0.788828786,14,40,40,3,5,10.6435775978213,39.407707297076,1000,0.828966424488356,1,1.34946857493933,3.27847898849268,3.64315572839976,14.1728068540312,1e-05,-7.85512517805227,-63447.8269924708
