date,all.cases,symp.cases,records,local.rt.mean,local.rt.lower,local.rt.upper,rt.cat,mean,median,skewness,skewness.imputed,date.num,mean.cat,median.cat,skewness.cat
2020/6/1,3,2,4,1.446419857,0.308917512,2.542115468,3,28.615,30.69,-0.508233752,-0.508233752,18414,5,5,1
2020/6/2,4,0,0,1.15100886,0.305611914,2.074177122,3,NA,NA,NA,NA,18415,NA,NA,NA
2020/6/3,0,2,1,0.870184019,0.23436851,1.64088151,2,18.99,18.99,NA,-0.069955237,18416,1,1,NA
2020/6/4,1,1,2,0.670090033,0.18018237,1.211997549,2,28.85,28.85,-3.77E-14,-3.77E-14,18417,5,5,2
2020/6/5,0,0,0,0.484862289,0.137250337,0.948573379,1,NA,NA,NA,NA,18418,NA,NA,NA
2020/6/6,0,0,0,0.345918795,0.115559228,0.704787738,1,NA,NA,NA,NA,18419,NA,NA,NA
2020/6/7,0,0,0,0.232606169,0.104997156,0.511117683,1,NA,NA,NA,NA,18420,NA,NA,NA
2020/6/8,0,0,0,0.1727864,0.096696286,0.513623525,1,NA,NA,NA,NA,18421,NA,NA,NA
2020/6/9,0,0,0,0.187650854,0.100210117,0.545231394,1,NA,NA,NA,NA,18422,NA,NA,NA
2020/6/10,0,0,0,0.220710605,0.128141826,0.612995456,1,NA,NA,NA,NA,18423,NA,NA,NA
2020/6/11,0,0,0,0.25562323,0.138093912,0.711966022,1,NA,NA,NA,NA,18424,NA,NA,NA
2020/6/12,1,0,1,0.317954374,0.165861133,0.902841673,1,24,24,NA,NA,18425,3,3,NA
2020/6/13,1,0,0,0.383463858,0.209335246,1.012734504,1,NA,NA,NA,NA,18426,NA,NA,NA
2020/6/14,0,0,0,0.462267389,0.23749277,1.272200073,1,NA,NA,NA,NA,18427,NA,NA,NA
2020/6/15,0,0,0,0.565480204,0.278040275,1.706503153,2,NA,NA,NA,NA,18428,NA,NA,NA
2020/6/16,0,0,0,0.658612765,0.343946576,1.652732081,2,NA,NA,NA,NA,18429,NA,NA,NA
2020/6/17,0,0,0,0.76339813,0.370514314,1.817910738,2,NA,NA,NA,NA,18430,NA,NA,NA
2020/6/18,0,0,0,0.909229038,0.449401456,1.822502081,2,NA,NA,NA,NA,18431,NA,NA,NA
2020/6/19,0,0,0,1.255017978,0.48952759,3.199703958,3,NA,NA,NA,NA,18432,NA,NA,NA
2020/6/20,0,0,0,2.34345855,0.783830417,3.96110716,4,NA,NA,NA,NA,18433,NA,NA,NA
2020/6/21,0,0,0,2.943689789,1.761097168,4.898167807,4,NA,NA,NA,NA,18434,NA,NA,NA
2020/6/22,0,0,0,3.781680637,2.306878246,5.919775421,4,NA,NA,NA,NA,18435,NA,NA,NA
2020/6/23,0,0,0,4.199860703,2.700351182,6.459848002,4,NA,NA,NA,NA,18436,NA,NA,NA
2020/6/24,0,0,0,4.349620228,2.904322083,7.152710465,4,NA,NA,NA,NA,18437,NA,NA,NA
2020/6/25,0,2,0,4.479108712,3.004368238,7.771487899,4,NA,NA,NA,NA,18438,NA,NA,NA
2020/6/26,0,0,0,4.535005896,2.991160276,7.783386709,4,NA,NA,NA,NA,18439,NA,NA,NA
2020/6/27,0,0,0,4.514563372,3.036615455,7.893872519,4,NA,NA,NA,NA,18440,NA,NA,NA
2020/6/28,0,0,0,4.487578971,3.043970408,7.572332841,4,NA,NA,NA,NA,18441,NA,NA,NA
2020/6/29,0,1,0,4.379799403,2.999890286,7.275280763,4,NA,NA,NA,NA,18442,NA,NA,NA
2020/6/30,0,2,0,4.239541519,3.005798065,6.937017765,4,NA,NA,NA,NA,18443,NA,NA,NA
2020/7/1,0,4,0,4.153150196,2.958581277,6.583614585,4,NA,NA,NA,NA,18444,NA,NA,NA
2020/7/2,0,3,0,4.030689806,2.903345984,6.275741373,4,NA,NA,NA,NA,18445,NA,NA,NA
2020/7/3,0,6,0,3.845672538,2.793349237,5.985869274,4,NA,NA,NA,NA,18446,NA,NA,NA
2020/7/4,0,8,1,3.606564175,2.650097084,5.650969364,4,16.6,16.6,NA,NA,18447,1,1,NA
2020/7/5,2,10,1,3.352436236,2.455163217,5.252133062,4,19.49,19.49,NA,NA,18448,1,1,NA
2020/7/6,1,21,6,3.081723077,2.254117093,4.726058209,4,16.95,16,0.679455574,0.679455574,18449,1,1,4
2020/7/7,9,37,23,2.830351845,2.091082786,4.250286013,4,19.2726087,19.12,0.281715628,0.281715628,18450,1,1,3
2020/7/8,19,28,17,2.603123926,1.931992208,3.802313456,4,22.27117647,21.23,0.366825465,0.366825465,18451,3,2,4
2020/7/9,34,35,34,2.400179941,1.824922562,3.399017823,4,20.24294118,18.95,0.384475028,0.384475028,18452,2,1,4
2020/7/10,32,44,51,2.241139879,1.718942185,3.113316483,4,19.84294118,18.48,0.744674415,0.744674415,18453,1,1,4
2020/7/11,16,41,35,2.095323304,1.647444745,2.858859025,4,21.18514286,20.4,0.573094494,0.573094494,18454,2,2,4
2020/7/12,30,50,24,1.99537498,1.597590828,2.665455151,4,21.39125,21.28,0.376776676,0.376776676,18455,2,2,4
2020/7/13,41,54,46,1.900405423,1.548636805,2.512140213,4,21.47891304,19.285,0.589891224,0.589891224,18456,2,1,4
2020/7/14,40,75,43,1.815986494,1.509185746,2.367710317,4,22.04837209,20.77,0.569046087,0.569046087,18457,3,2,4
2020/7/15,14,82,39,1.738573089,1.449351664,2.22778882,4,20.47615385,19.1,0.616518642,0.616518642,18458,2,1,4
2020/7/16,63,84,53,1.656966355,1.396076778,2.111328026,4,22.29962264,20.9,0.561093905,0.561093905,18459,3,2,4
2020/7/17,50,90,76,1.584742124,1.350010977,1.995272626,4,22.45078947,21.02,0.412827612,0.412827612,18460,3,2,4
2020/7/18,60,84,87,1.52382463,1.304351828,1.898284421,4,21.73413793,21.3,0.54757491,0.54757491,18461,2,2,4
2020/7/19,82,72,101,1.460795452,1.26442263,1.8005052,3,22.00534653,20.77,0.750881048,0.750881048,18462,3,2,4
2020/7/20,66,102,100,1.391251685,1.223968458,1.705645122,3,21.3337,21.44,0.296248136,0.296248136,18463,2,2,3
2020/7/21,58,103,89,1.330868496,1.182724088,1.611106533,3,22.0311236,20.32,0.525350039,0.525350039,18464,3,2,4
2020/7/22,102,106,109,1.278703748,1.14104027,1.528550504,3,22.33816514,22.5,0.209261405,0.209261405,18465,3,3,3
2020/7/23,110,100,127,1.218335114,1.086883967,1.43891937,3,23.6903937,22.81,0.352011988,0.352011988,18466,3,3,4
