EL,ER,SL,SR,type
28,28,39,39,2
38,38,43,43,2
43,43,48,48,2
39,39,48,48,2
43,43,49,49,2
43,43,51,51,2
48,48,55,55,2
48,48,55,55,2
44,44,55,55,2
54,54,57,57,2
53,53,58,58,2
49,49,59,59,2
58,58,60,60,2
56,56,60,60,2
48,48,60,60,2
60,60,61,61,2
60,60,61,61,2
58,58,61,61,2
56,56,61,61,2
55,55,61,61,2
54,54,61,61,2
56,56,62,62,2
55,55,62,62,2
55,55,62,62,2
61,61,63,63,2
60,60,63,63,2
59,59,63,63,2
55,55,63,63,2
55,55,63,63,2
52,52,63,63,2
59,59,64,64,2
57,57,64,64,2
56,56,64,64,2
64,64,65,65,2
61,61,65,65,2
58,58,65,65,2
64,64,66,66,2
61,61,66,66,2
59,59,66,66,2
58,58,66,66,2
57,57,66,66,2
62,62,67,67,2
61,61,67,67,2
61,61,67,67,2
55,55,67,67,2
64,64,68,68,2
64,64,68,68,2
63,63,68,68,2
62,62,68,68,2
61,61,68,68,2
61,61,68,68,2
61,61,68,68,2
67,67,69,69,2
66,66,69,69,2
66,66,69,69,2
66,66,69,69,2
63,63,69,69,2
61,61,69,69,2
60,60,69,69,2
66,66,70,70,2
66,66,70,70,2
64,64,70,70,2
63,63,70,70,2
63,63,70,70,2
68,68,71,71,2
68,68,71,71,2
68,68,71,71,2
67,67,71,71,2
66,66,71,71,2
66,66,71,71,2
65,65,71,71,2
64,64,71,71,2
64,64,71,71,2
64,64,71,71,2
64,64,71,71,2
64,64,71,71,2
64,64,71,71,2
64,64,71,71,2
62,62,71,71,2
68,68,72,72,2
68,68,72,72,2
68,68,72,72,2
67,67,72,72,2
67,67,72,72,2
67,67,72,72,2
66,66,72,72,2
65,65,72,72,2
65,65,72,72,2
64,64,72,72,2
63,63,72,72,2
69,69,73,73,2
69,69,73,73,2
69,69,73,73,2
68,68,73,73,2
67,67,73,73,2
67,67,73,73,2
67,67,73,73,2
67,67,73,73,2
66,66,73,73,2
66,66,73,73,2
66,66,73,73,2
66,66,73,73,2
65,65,73,73,2
64,64,73,73,2
64,64,73,73,2
72,72,74,74,2
72,72,74,74,2
71,71,74,74,2
70,70,74,74,2
70,70,74,74,2
69,69,74,74,2
69,69,74,74,2
69,69,74,74,2
68,68,74,74,2
68,68,74,74,2
67,67,74,74,2
67,67,74,74,2
67,67,74,74,2
65,65,74,74,2
64,64,74,74,2
64,64,74,74,2
74,74,75,75,2
73,73,75,75,2
72,72,75,75,2
72,72,75,75,2
72,72,75,75,2
71,71,75,75,2
71,71,75,75,2
71,71,75,75,2
71,71,75,75,2
71,71,75,75,2
71,71,75,75,2
71,71,75,75,2
70,70,75,75,2
70,70,75,75,2
70,70,75,75,2
70,70,75,75,2
69,69,75,75,2
69,69,75,75,2
69,69,75,75,2
68,68,75,75,2
68,68,75,75,2
68,68,75,75,2
67,67,75,75,2
67,67,75,75,2
74,74,76,76,2
73,73,76,76,2
72,72,76,76,2
72,72,76,76,2
72,72,76,76,2
71,71,76,76,2
71,71,76,76,2
71,71,76,76,2
71,71,76,76,2
70,70,76,76,2
70,70,76,76,2
70,70,76,76,2
70,70,76,76,2
69,69,76,76,2
69,69,76,76,2
69,69,76,76,2
68,68,76,76,2
66,66,76,76,2
66,66,76,76,2
63,63,76,76,2
75,75,77,77,2
75,75,77,77,2
72,72,77,77,2
72,72,77,77,2
72,72,77,77,2
71,71,77,77,2
71,71,77,77,2
71,71,77,77,2
70,70,77,77,2
70,70,77,77,2
70,70,77,77,2
70,70,77,77,2
70,70,77,77,2
68,68,77,77,2
66,66,77,77,2
66,66,77,77,2
65,65,77,77,2
63,63,77,77,2
63,63,77,77,2
62,62,77,77,2
76,76,78,78,2
76,76,78,78,2
75,75,78,78,2
75,75,78,78,2
75,75,78,78,2
