date,imported,local
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,1
6,0,0
7,0,0
8,0,0
9,0,3
10,0,2
11,0,1
12,0,3
13,0,0
14,0,2
15,0,3
16,0,4
17,0,2
18,0,7
19,0,4
20,0,9
21,0,2
22,0,5
23,0,11
24,0,12
25,0,10
26,0,13
27,0,19
28,0,27
29,0,32
30,0,26
31,0,42
32,0,41
33,0,48
34,0,48
35,0,61
36,0,63
37,0,97
38,0,98
39,0,119
40,0,123
41,0,132
42,0,157
43,0,196
44,0,221
45,0,278
46,0,316
47,0,329
48,0,344
49,0,393
50,0,473
51,0,593
52,0,686
53,0,747
54,0,861
55,0,909
56,0,1031
57,0,1201
58,0,1370
59,0,1525
60,0,1670
61,0,1900
62,0,2054
63,0,2235
64,0,2460
65,0,2630
66,0,2818
67,0,3023
68,0,3212
69,0,3249
70,0,3424
71,0,3345
72,0,3564
73,0,3475
74,0,3417
75,0,3338
76,0,3264
77,0,3060
78,0,2718
79,0,2702
80,0,2410
81,0,2248
82,0,1919
83,0,1679
84,0,1567
85,0,1342
86,0,1205
87,0,977
88,0,865
89,0,733
90,0,665
91,0,551
92,0,522
93,0,374
94,0,362
95,0,315
96,0,259
97,0,212
98,0,191
99,0,129
100,0,113
101,0,106
102,0,118
103,0,83
104,0,49
105,0,70
106,0,50
107,0,34
108,0,42
109,0,23
110,0,20
111,0,19
112,0,15
113,0,11
114,0,13
115,0,10
116,0,6
117,0,4
118,0,4
119,0,7
120,0,5
121,0,3
122,0,2
123,0,4
124,0,3
125,0,4
126,0,2
127,0,1
128,0,0
129,0,2
130,0,2
131,0,2
132,0,1
133,0,1
134,0,1
135,0,0
136,0,0
137,0,0
138,0,1
139,0,0
140,0,1
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
