date,imported,local
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,1
14,0,0
15,0,0
16,0,1
17,0,0
18,0,4
19,0,0
20,0,2
21,0,0
22,0,3
23,0,1
24,0,0
25,0,2
26,0,0
27,0,3
28,0,4
29,0,5
30,0,8
31,0,3
32,0,6
33,0,8
34,0,4
35,0,10
36,0,11
37,0,16
38,0,15
39,0,17
40,0,25
41,0,22
42,0,24
43,0,33
44,0,32
45,0,52
46,0,46
47,0,50
48,0,68
49,0,84
50,0,97
51,0,125
52,0,132
53,0,155
54,0,172
55,0,213
56,0,257
57,0,275
58,0,310
59,0,345
60,0,421
61,0,491
62,0,521
63,0,618
64,0,665
65,0,695
66,0,933
67,0,915
68,0,1052
69,0,1177
70,0,1216
71,0,1339
72,0,1525
73,0,1643
74,0,1704
75,0,1737
76,0,1852
77,0,1874
78,0,1977
79,0,1850
80,0,1792
81,0,1710
82,0,1732
83,0,1601
84,0,1595
85,0,1419
86,0,1303
87,0,1162
88,0,1085
89,0,977
90,0,857
91,0,766
92,0,630
93,0,543
94,0,511
95,0,391
96,0,355
97,0,312
98,0,282
99,0,252
100,0,172
101,0,154
102,0,150
103,0,129
104,0,104
105,0,96
106,0,80
107,0,66
108,0,51
109,0,57
110,0,39
111,0,30
112,0,30
113,0,28
114,0,23
115,0,15
116,0,13
117,0,16
118,0,7
119,0,11
120,0,9
121,0,6
122,0,8
123,0,1
124,0,3
125,0,2
126,0,0
127,0,1
128,0,2
129,0,0
130,0,0
131,0,3
132,0,1
133,0,1
134,0,0
135,0,1
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,1
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
