EL,ER,SL,SR,type
5,5,15,15,2
13,13,18,18,2
18,18,20,20,2
18,18,22,22,2
18,18,23,23,2
17,17,23,23,2
17,17,23,23,2
17,17,23,23,2
17,17,23,23,2
17,17,23,23,2
17,17,23,23,2
17,17,23,23,2
17,17,23,23,2
23,23,24,24,2
17,17,24,24,2
17,17,24,24,2
17,17,24,24,2
17,17,24,24,2
22,22,25,25,2
22,22,25,25,2
22,22,25,25,2
22,22,25,25,2
21,21,25,25,2
21,21,25,25,2
21,21,25,25,2
21,21,25,25,2
21,21,25,25,2
21,21,25,25,2
21,21,25,25,2
20,20,25,25,2
20,20,25,25,2
20,20,25,25,2
17,17,25,25,2
17,17,25,25,2
17,17,25,25,2
17,17,25,25,2
17,17,25,25,2
22,22,26,26,2
21,21,26,26,2
21,21,26,26,2
21,21,26,26,2
20,20,26,26,2
18,18,26,26,2
18,18,26,26,2
18,18,26,26,2
18,18,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
17,17,26,26,2
26,26,27,27,2
25,25,27,27,2
25,25,27,27,2
25,25,27,27,2
24,24,27,27,2
24,24,27,27,2
24,24,27,27,2
23,23,27,27,2
23,23,27,27,2
22,22,27,27,2
22,22,27,27,2
22,22,27,27,2
22,22,27,27,2
22,22,27,27,2
21,21,27,27,2
21,21,27,27,2
21,21,27,27,2
21,21,27,27,2
20,20,27,27,2
20,20,27,27,2
20,20,27,27,2
20,20,27,27,2
20,20,27,27,2
20,20,27,27,2
18,18,27,27,2
18,18,27,27,2
18,18,27,27,2
17,17,27,27,2
17,17,27,27,2
17,17,27,27,2
27,27,28,28,2
26,26,28,28,2
26,26,28,28,2
26,26,28,28,2
25,25,28,28,2
25,25,28,28,2
24,24,28,28,2
23,23,28,28,2
23,23,28,28,2
23,23,28,28,2
22,22,28,28,2
20,20,28,28,2
20,20,28,28,2
20,20,28,28,2
18,18,28,28,2
18,18,28,28,2
18,18,28,28,2
17,17,28,28,2
17,17,28,28,2
17,17,28,28,2
28,28,29,29,2
27,27,29,29,2
27,27,29,29,2
27,27,29,29,2
27,27,29,29,2
27,27,29,29,2
27,27,29,29,2
27,27,29,29,2
26,26,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
25,25,29,29,2
24,24,29,29,2
24,24,29,29,2
24,24,29,29,2
23,23,29,29,2
23,23,29,29,2
23,23,29,29,2
23,23,29,29,2
22,22,29,29,2
21,21,29,29,2
21,21,29,29,2
21,21,29,29,2
21,21,29,29,2
20,20,29,29,2
20,20,29,29,2
20,20,29,29,2
20,20,29,29,2
20,20,29,29,2
18,18,29,29,2
17,17,29,29,2
17,17,29,29,2
17,17,29,29,2
29,29,30,30,2
29,29,30,30,2
29,29,30,30,2
28,28,30,30,2
28,28,30,30,2
27,27,30,30,2
27,27,30,30,2
27,27,30,30,2
27,27,30,30,2
27,27,30,30,2
27,27,30,30,2
27,27,30,30,2
26,26,30,30,2
26,26,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
25,25,30,30,2
24,24,30,30,2
24,24,30,30,2
24,24,30,30,2
24,24,30,30,2
24,24,30,30,2
23,23,30,30,2
23,23,30,30,2
23,23,30,30,2
23,23,30,30,2
23,23,30,30,2
23,23,30,30,2
22,22,30,30,2
21,21,30,30,2
20,20,30,30,2
20,20,30,30,2
17,17,30,30,2
29,29,31,31,2
29,29,31,31,2
29,29,31,31,2
29,29,31,31,2
29,29,31,31,2
28,28,31,31,2
28,28,31,31,2
28,28,31,31,2
