date,imported,local
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,1
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,5
22,0,6
23,0,3
24,0,3
25,0,9
26,0,6
27,0,12
28,0,16
29,0,23
30,0,25
31,0,53
32,0,47
33,0,61
34,0,71
35,0,105
36,0,139
37,0,215
38,0,225
39,0,297
40,0,380
41,0,442
42,0,549
43,0,662
44,0,733
45,0,871
46,0,932
47,0,937
48,0,986
49,0,1027
50,0,1068
51,0,1060
52,0,990
53,0,942
54,0,943
55,0,845
56,0,752
57,0,714
58,0,600
59,0,532
60,0,465
61,0,446
62,0,399
63,0,354
64,0,279
65,0,258
66,0,212
67,0,183
68,0,134
69,0,149
70,0,122
71,0,105
72,0,93
73,0,78
74,0,63
75,0,58
76,0,39
77,0,35
78,0,27
79,0,40
80,0,22
81,0,22
82,0,17
83,0,15
84,0,5
85,0,12
86,0,13
87,0,10
88,0,4
89,0,3
90,0,7
91,0,4
92,0,1
93,0,4
94,0,6
95,0,0
96,0,2
97,0,0
98,0,4
99,0,3
100,0,1
101,0,1
102,0,1
103,0,0
104,0,0
105,0,1
106,0,0
107,0,0
108,0,1
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
