date,imported,local
0,1,0
1,0,0
2,0,0
3,0,0
4,0,2
5,0,0
6,0,4
7,0,1
8,0,2
9,0,5
10,0,5
11,0,9
12,0,5
13,0,4
14,0,12
15,0,14
16,0,17
17,0,20
18,0,23
19,0,30
20,0,51
21,0,77
22,0,113
23,0,136
24,0,197
25,0,225
26,0,319
27,0,414
28,0,595
29,0,691
30,0,987
31,0,1128
32,0,1461
33,0,1686
34,0,1899
35,0,2342
36,0,2783
37,0,3133
38,0,3544
39,0,3768
40,0,3975
41,0,4177
42,0,4032
43,0,4202
44,0,4132
45,0,3923
46,0,3781
47,0,3539
48,0,3368
49,0,2949
50,0,2695
51,0,2475
52,0,2165
53,0,1865
54,0,1638
55,0,1424
56,0,1236
57,0,1067
58,0,907
59,0,785
60,0,672
61,0,608
62,0,520
63,0,428
64,0,350
65,0,318
66,0,245
67,0,251
68,0,209
69,0,133
70,0,124
71,0,120
72,0,88
73,0,81
74,0,74
75,0,38
76,0,53
77,0,41
78,0,30
79,0,34
80,0,20
81,0,14
82,0,19
83,0,11
84,0,17
85,0,10
86,0,8
87,0,9
88,0,5
89,0,8
90,0,6
91,0,3
92,0,0
93,0,5
94,0,5
95,0,2
96,0,4
97,0,1
98,0,1
99,0,0
100,0,1
101,0,1
102,0,1
103,0,4
104,0,0
105,0,0
106,0,0
107,0,3
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
